CVS	25.19	25.43	24.46	24.69	13798700.0	23.66	-0.50	-1.98%
DHI	7.4	7.48	6.92	7.01	12424600.0	6.72	-0.39	-5.27%
DHR	50.74	52.13	49.32	49.7	7219400.0	24.68	-1.04	-2.05%
DRI	24.99	25.74	24.26	24.73	4601500.0	22.18	-0.26	-1.04%
DVA	46.84	47.26	45.58	45.91	841700.0	45.91	-0.93	-1.99%
DF	20.03	20.23	18.95	19.13	4159800.0	18.94	-0.90	-4.49%
DE	25.98	26.65	25.01	25.32	6531300.0	23.48	-0.66	-2.54%
DELL	8.7	8.94	8.39	8.39	30939300.0	8.39	-0.31	-3.56%
DNR	12.8	13.56	12.53	12.8	5300100.0	12.8	0.00	0.00%
XRAY	22.97	23.07	22.4	22.46	3619400.0	22.02	-0.51	-2.22%
DVN	41.59	43.27	40.52	41.22	8311200.0	39.75	-0.37	-0.89%
DV	45.41	47.27	42.44	44.04	2410700.0	43.16	-1.37	-3.02%
DO	57.14	57.9	54.26	55.27	3384800.0	44.09	-1.87	-3.27%
DTV	20.42	20.42	19.7	19.84	16287200.0	19.84	-0.58	-2.84%
DFS	5.28	5.44	4.76	4.89	9746900.0	4.75	-0.39	-7.39%
DISCA	15.26	15.65	15.07	15.21	2430700.0	15.21	-0.05	-0.33%
DLTR	39.43	40.92	39.1	40.1	14647600.0	13.37	0.67	1.70%
D	28.36	28.36	27.39	27.89	6401800.0	24.41	-0.47	-1.66%
RRD	6.5	6.5	5.89	5.93	3915300.0	4.8	-0.57	-8.77%
DOV	23.03	23.55	22.21	22.43	2091100.0	20.8	-0.60	-2.61%
DOW	6.88	7.07	6.3	6.47	34258400.0	5.83	-0.41	-5.96%
DPS	12.78	12.8	11.96	12.11	3067500.0	11.2	-0.67	-5.24%
DTE	24.34	24.6	23.32	23.63	2094200.0	19.75	-0.71	-2.92%
DD	17.78	17.83	16.79	16.97	10224200.0	14.9	-0.81	-4.56%
DUK	12.21	12.21	11.83	12.04	4366900.0	30.2	-0.17	-1.39%
DNB	71.8	72.11	70.21	70.62	758300.0	66.32	-1.18	-1.64%
ETFC	0.75	0.75	0.65	0.65	1025300.0	6.5	-0.10	-13.33%
EMN	18.9	19.14	17.84	18.0	2813400.0	8.07	-0.90	-4.76%
ETN	32.35	32.7	30.87	31.71	7248400.0	14.34	-0.64	-1.98%
EBAY	10.61	10.79	10.42	10.46	22896200.0	10.46	-0.15	-1.41%
ECL	30.15	30.33	29.51	30.1	4383300.0	28.67	-0.05	-0.17%
EIX	24.64	24.64	23.66	24.14	4025400.0	21.5	-0.50	-2.03%
EW	53.86	54.76	52.86	53.4	1130000.0	26.7	-0.46	-0.85%
EA	15.52	15.92	15.14	15.29	6555300.0	15.29	-0.23	-1.48%
EMC	10.32	10.6	10.0	10.05	28976800.0	10.05	-0.27	-2.62%
EMR	25.86	25.86	24.39	25.23	10393500.0	22.9	-0.63	-2.44%
ETR	63.38	63.6	62.05	63.45	2154000.0	54.81	0.07	0.11%
EOG	50.33	52.84	49.57	51.84	7868000.0	50.61	1.51	3.00%
EQT	29.08	29.46	28.22	28.47	2021600.0	26.72	-0.61	-2.10%
EFX	21.4	21.94	20.51	20.71	2346800.0	19.9	-0.69	-3.22%
EQR	17.44	17.59	16.53	16.71	9143900.0	14.56	-0.73	-4.19%
EL	21.61	21.61	20.4	20.58	5695000.0	9.98	-1.03	-4.77%
EXC	45.36	45.36	43.49	44.16	6236000.0	37.85	-1.20	-2.65%
EXPE	6.83	6.84	6.63	6.64	2440000.0	9.53	-0.19	-2.78%
EXPD	26.25	26.25	24.56	24.66	5779000.0	23.72	-1.59	-6.06%
ESRX	46.45	46.68	44.45	44.62	7069800.0	22.31	-1.83	-3.94%
XOM	64.18	64.58	62.13	62.22	50244900.0	57.42	-1.96	-3.05%
FFIV	19.69	19.99	19.18	19.25	1746800.0	19.25	-0.44	-2.23%
FDO	29.27	31.0	29.27	30.66	11334200.0	29.05	1.39	4.75%
FAST	28.1	28.24	26.79	26.96	5859200.0	12.71	-1.14	-4.06%
FII	18.46	18.49	16.9	17.14	2247300.0	14.27	-1.32	-7.15%
FDX	41.6	41.6	38.49	39.0	6425100.0	38.12	-2.60	-6.25%
FIS	16.42	16.97	16.27	16.42	2755400.0	15.83	0.00	0.00%
FITB	1.62	1.67	1.33	1.37	34658900.0	1.31	-0.25	-15.43%
FHN	8.67	9.17	7.55	8.02	8368100.0	7.84	-0.65	-7.50%
FSLR	110.52	111.7	106.81	109.79	4484000.0	109.79	-0.73	-0.66%
FE	39.13	39.13	37.25	37.61	2358700.0	31.67	-1.52	-3.88%
FISV	31.28	31.66	30.45	30.45	2579900.0	30.45	-0.83	-2.65%
FLIR	20.02	20.27	19.33	19.44	3686200.0	19.16	-0.58	-2.90%
FLS	47.57	47.57	44.25	44.91	1979900.0	42.96	-2.66	-5.59%
FLR	31.83	32.19	30.48	30.92	6290700.0	29.93	-0.91	-2.86%
FMC	38.51	38.66	36.26	36.61	1292000.0	17.8	-1.90	-4.93%
FTI	24.3	25.28	23.7	24.08	3807400.0	12.04	-0.22	-0.91%
F	1.75	2.0	1.73	1.81	47498200.0	1.8	0.06	3.43%
FRX	20.03	20.03	19.04	19.25	3254100.0	19.25	-0.78	-3.89%
FOSL	11.46	12.64	11.46	11.9	576300.0	11.9	0.44	3.84%
BEN	42.18	42.87	38.75	39.41	4199500.0	37.29	-2.77	-6.57%
FCX	30.78	32.3	30.51	31.65	56796600.0	14.96	0.87	2.83%
FTR	6.57	6.63	5.85	5.95	8545700.0	4.13	-0.62	-9.44%
GME	26.67	26.9	22.34	23.46	15009600.0	23.12	-3.21	-12.04%
GCI	2.3	2.36	2.06	2.11	11227900.0	1.95	-0.19	-8.26%
GPS	10.34	10.74	9.96	10.21	13927500.0	9.5	-0.13	-1.26%
GD	37.5	39.41	36.98	37.38	10657700.0	34.02	-0.12	-0.32%
GE	6.75	7.17	6.53	6.66	445315100.0	6.03	-0.09	-1.33%
GIS	51.0	51.17	49.56	49.99	9318800.0	22.43	-1.01	-1.98%
GPC	26.75	26.9	25.68	25.89	2057700.0	22.93	-0.86	-3.21%
GNW	0.93	1.0	0.88	0.91	14183700.0	0.91	-0.02	-2.15%
GILD	44.7	45.32	43.7	43.78	11579500.0	43.78	-0.92	-2.06%
GS	82.88	85.7	79.35	81.72	24826200.0	78.86	-1.16	-1.40%
GR	31.28	31.28	30.39	30.64	2662400.0	29.31	-0.64	-2.05%
GT	3.88	3.9	3.49	3.56	5613300.0	3.56	-0.32	-8.25%
GOOG	316.48	319.08	302.64	305.64	6529900.0	305.64	-10.84	-3.43%
GWW	63.25	63.44	61.22	61.71	2134400.0	58.23	-1.54	-2.43%
HAL	15.84	16.26	15.12	15.38	16098200.0	14.82	-0.46	-2.90%
HOG	8.7	8.83	7.99	8.2	7813700.0	7.83	-0.50	-5.75%
HAR	9.86	9.93	9.3	9.48	1856700.0	9.4	-0.38	-3.85%
HRS	33.22	33.8	31.6	31.85	2210800.0	29.42	-1.37	-4.12%
HIG	4.87	4.97	3.68	4.13	39873900.0	3.95	-0.74	-15.20%
HAS	21.98	22.57	21.79	22.0	5132600.0	19.86	0.02	0.09%
HCP	17.19	17.43	15.97	16.16	10772500.0	13.38	-1.03	-5.99%
HCN	28.88	29.3	27.32	27.66	3915600.0	22.76	-1.22	-4.22%
HNZ	31.65	31.87	30.95	31.24	4646800.0	27.25	-0.41	-1.30%
HP	20.55	21.25	19.98	20.25	3278300.0	19.91	-0.30	-1.46%
HES	53.99	55.93	52.06	52.71	6624200.0	51.48	-1.28	-2.37%
HPQ	28.11	28.29	26.81	27.08	30222200.0	25.98	-1.03	-3.66%
HD	18.51	19.18	18.0	18.15	23774300.0	16.26	-0.36	-1.94%
HON	24.81	24.87	23.69	23.91	7342800.0	21.8	-0.90	-3.63%
HRL	30.11	30.14	29.26	29.4	2126600.0	13.7	-0.71	-2.36%
HSP	22.64	22.69	21.61	21.82	1467200.0	21.82	-0.82	-3.62%
HST	3.49	3.65	3.31	3.4	24187600.0	3.32	-0.09	-2.58%
HCBK	9.86	9.88	8.87	8.93	18598100.0	7.68	-0.93	-9.43%
HUM	20.65	20.65	18.57	18.77	6227000.0	18.49	-1.88	-9.10%
